Cod_bairro,Cod_distrito,Cod_meso,Cod_municipio,Cod_subdistrito,Nome_Grande_Regiao,Nome_da_UF,Nome_do_municipio,Nome_do_subdistrito,Situacao_setor,Tipo_setor,media_moradores_por_domicilio,media_rendimento_medio_por_morador_com_ou_sem_renda,media_rendimento_medio_por_morador_com_renda,media_rendimento_medio_por_morador_reponsavel_com_ou_sem_Renda,media_rendimento_medio_por_morador_responsavel_com_renda,n_alfabetizados_homens,n_alfabetizados_mulheres,n_amarelos,n_brancos,n_domicilios,n_homens,n_idade_0_10,n_idade_11_20,n_idade_21_30,n_idade_31_40,n_idade_41_50,n_idade_51_60,n_idade_61_70,n_idade_71_100,n_indigenas,n_moradores,n_mulheres,n_pardos,n_pretos,variancia_moradores_por_domicilio,NM_BAIRRO
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.3,1411.57,1788.99,2025.53,2142.39,210.0,266.0,36.0,390.0,220.0,226.0,32.0,67.0,143.0,84.0,70.0,43.0,35.0,28.0,0.0,505.0,280.0,71.0,9.0,1.62,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.44,1838.68,2692.87,2496.98,3181.64,237.0,322.0,48.0,462.0,237.0,245.0,20.0,66.0,206.0,56.0,63.0,59.0,38.0,68.0,1.0,578.0,333.0,55.0,12.0,1.51,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.15,1967.79,2489.43,2389.36,2820.43,229.0,258.0,16.0,425.0,229.0,236.0,20.0,61.0,150.0,79.0,61.0,51.0,28.0,50.0,1.0,492.0,266.0,51.0,9.0,1.37,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.4,1672.12,2052.67,2234.08,2372.74,155.0,210.0,67.0,288.0,154.0,168.0,30.0,52.0,90.0,48.0,46.0,46.0,35.0,38.0,0.0,369.0,221.0,19.0,15.0,1.95,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.56,2121.17,2782.43,3367.77,3596.78,271.0,384.0,157.0,507.0,267.0,285.0,44.0,92.0,139.0,89.0,90.0,83.0,57.0,89.0,0.0,684.0,399.0,13.0,7.0,2.21,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.25,1968.04,2437.57,2848.57,2975.74,215.0,281.0,61.0,427.0,234.0,233.0,37.0,65.0,116.0,74.0,73.0,47.0,47.0,64.0,0.0,527.0,297.0,34.0,8.0,1.6,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.19,1659.79,2032.58,2147.03,2250.25,109.0,128.0,5.0,217.0,109.0,109.0,14.0,29.0,51.0,38.0,32.0,33.0,20.0,24.0,0.0,239.0,132.0,15.0,4.0,1.31,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.15,1662.01,2000.7,1978.72,2217.12,263.0,324.0,49.0,472.0,279.0,271.0,32.0,89.0,164.0,93.0,60.0,68.0,55.0,42.0,5.0,599.0,335.0,62.0,18.0,1.5,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.09,2408.98,2986.47,3312.76,3590.48,303.0,433.0,29.0,623.0,362.0,311.0,33.0,83.0,206.0,106.0,88.0,86.0,71.0,82.0,4.0,757.0,448.0,80.0,23.0,1.2,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.11,2728.96,3134.47,3708.09,3786.15,266.0,324.0,33.0,487.0,291.0,275.0,41.0,71.0,136.0,85.0,84.0,58.0,62.0,73.0,2.0,614.0,339.0,80.0,12.0,1.27,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.28,2580.0,3137.84,3601.52,3866.89,330.0,354.0,45.0,590.0,306.0,338.0,24.0,74.0,202.0,77.0,86.0,88.0,50.0,98.0,1.0,699.0,361.0,49.0,14.0,2.0,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.26,3046.9,3723.33,3895.1,4182.56,280.0,355.0,44.0,573.0,291.0,292.0,34.0,56.0,144.0,91.0,73.0,91.0,67.0,99.0,0.0,659.0,367.0,35.0,7.0,1.68,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,1.81,1992.14,3311.67,2434.23,3731.81,270.0,384.0,22.0,613.0,371.0,278.0,23.0,67.0,232.0,127.0,66.0,63.0,30.0,59.0,0.0,672.0,394.0,18.0,19.0,1.01,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.18,1834.46,2317.21,2568.09,2811.9,144.0,220.0,9.0,332.0,173.0,150.0,19.0,47.0,107.0,52.0,44.0,47.0,21.0,37.0,0.0,378.0,228.0,24.0,13.0,1.45,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,1.65,1495.41,1865.24,1708.93,1965.71,167.0,188.0,10.0,263.0,222.0,175.0,17.0,38.0,106.0,76.0,53.0,35.0,19.0,20.0,1.0,366.0,191.0,78.0,14.0,0.75,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.2,1382.68,1739.93,1844.29,2038.43,121.0,133.0,44.0,202.0,126.0,135.0,19.0,40.0,80.0,37.0,50.0,35.0,17.0,3.0,6.0,277.0,147.0,28.0,2.0,2.0,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.45,1635.93,2139.56,2467.32,3077.92,322.0,307.0,56.0,529.0,247.0,338.0,37.0,121.0,185.0,80.0,77.0,67.0,39.0,44.0,0.0,605.0,316.0,54.0,11.0,3.57,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.12,1331.54,1634.42,1863.61,1953.68,243.0,335.0,40.0,449.0,282.0,252.0,27.0,94.0,143.0,87.0,84.0,66.0,40.0,55.0,0.0,599.0,347.0,100.0,10.0,1.11,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,1.84,1627.86,2102.06,2176.44,2507.46,297.0,307.0,61.0,457.0,303.0,307.0,25.0,93.0,210.0,92.0,74.0,49.0,32.0,42.0,0.0,558.0,314.0,76.0,27.0,1.54,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,1.76,2168.42,3026.36,2853.11,3460.55,138.0,184.0,18.0,263.0,188.0,141.0,11.0,60.0,93.0,41.0,42.0,23.0,21.0,40.0,0.0,330.0,191.0,27.0,24.0,0.99,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.28,1910.17,2446.45,2723.06,2997.98,199.0,300.0,23.0,433.0,229.0,209.0,38.0,57.0,109.0,75.0,55.0,62.0,55.0,63.0,3.0,521.0,312.0,47.0,15.0,1.38,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.12,2002.54,2666.53,2752.3,3110.22,218.0,291.0,24.0,443.0,252.0,230.0,30.0,74.0,111.0,64.0,74.0,70.0,34.0,73.0,0.0,533.0,303.0,56.0,10.0,1.51,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,1.9,1662.09,2107.88,2032.57,2319.66,187.0,196.0,16.0,325.0,202.0,194.0,13.0,63.0,92.0,54.0,51.0,36.0,45.0,42.0,0.0,383.0,205.0,54.0,4.0,1.16,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.28,2131.34,2578.13,2998.81,3108.15,186.0,225.0,68.0,333.0,199.0,209.0,30.0,62.0,97.0,73.0,54.0,56.0,29.0,54.0,1.0,454.0,249.0,33.0,23.0,1.77,Centro
4106902001.0,410690205.0,4110.0,4106902.0,41069020501,Região Sul,Paraná,CURITIBA,ADMINISTRAÇÃO REGIONAL DA MATRIZ (R.1.MZ),1.0,0.0,2.26,1695.64,2001.29,2514.17,2595.93,109.0,174.0,9.0,253.0,127.0,110.0,12.0,19.0,61.0,58.0,47.0,29.0,27.0,33.0,0.0,287.0,177.0,15.0,10.0,1.21,Centro
