,name,geom,key,value
0,Terminal Campo Comprido,POINT (-49.3466482 -25.4415818),amenity,bus_station
1,Terminal Hauer,POINT (-49.2470343 -25.4819118),amenity,bus_station
2,Terminal Hauer,POINT (-49.2468834 -25.4817788),amenity,bus_station
3,Guilhermina - 561,POINT (-49.2773758 -25.4874937),amenity,bus_station
4,,POINT (-49.3305895 -25.5757062),amenity,bus_station
5,,POINT (-49.3306972 -25.5756069),amenity,bus_station
6,,POINT (-49.3316682 -25.5764169),amenity,bus_station
7,,POINT (-49.3315601 -25.5765157),amenity,bus_station
8,,POINT (-49.3316212 -25.5764598),amenity,bus_station
9,,POINT (-49.3306411 -25.5756586),amenity,bus_station
10,,POINT (-49.3499661 -25.4836853),amenity,bus_station
11,,POINT (-49.3501603 -25.4837148),amenity,bus_station
12,,POINT (-49.3501465 -25.4837481),amenity,bus_station
13,,POINT (-49.3503386 -25.4837769),amenity,bus_station
14,,POINT (-49.3499202 -25.4838092),amenity,bus_station
15,,POINT (-49.3503244 -25.4838102),amenity,bus_station
16,,POINT (-49.3500941 -25.4838741),amenity,bus_station
17,,POINT (-49.3498896 -25.483876),amenity,bus_station
18,,POINT (-49.3502424 -25.4839296),amenity,bus_station
19,,POINT (-49.3502117 -25.4839965),amenity,bus_station
20,,POINT (-49.3500666 -25.4839403),amenity,bus_station
21,,POINT (-49.3499871 -25.4839392),amenity,bus_station
22,,POINT (-49.3499565 -25.483901),amenity,bus_station
23,,POINT (-49.3499242 -25.4839143),amenity,bus_station
24,,POINT (-49.3499465 -25.4839227),amenity,bus_station
25,,POINT (-49.3499166 -25.4839309),amenity,bus_station
26,,POINT (-49.3500191 -25.4839692),amenity,bus_station
27,,POINT (-49.3500262 -25.4839538),amenity,bus_station
28,,POINT (-49.3499975 -25.4839165),amenity,bus_station
29,,POINT (-49.3500178 -25.4834943),amenity,bus_station
30,,POINT (-49.3500016 -25.4835336),amenity,bus_station
31,,POINT (-49.350207 -25.4836025),amenity,bus_station
32,,POINT (-49.3503808 -25.483616),amenity,bus_station
33,,POINT (-49.3499804 -25.483652),amenity,bus_station
34,,POINT (-49.3503646 -25.4836553),amenity,bus_station
35,,POINT (-49.3237805 -25.5117216),amenity,bus_station
36,,POINT (-49.3238705 -25.5119),amenity,bus_station
37,,POINT (-49.3239871 -25.5119448),amenity,bus_station
38,,POINT (-49.3241762 -25.5119762),amenity,bus_station
39,,POINT (-49.3244585 -25.511952),amenity,bus_station
40,,POINT (-49.3251717 -25.5117954),amenity,bus_station
41,,POINT (-49.3250256 -25.511366),amenity,bus_station
42,,POINT (-49.2953152 -25.5118737),amenity,bus_station
43,,POINT (-49.2952743 -25.5134327),amenity,bus_station
44,,POINT (-49.2955534 -25.5134387),amenity,bus_station
45,,POINT (-49.2955943 -25.5118797),amenity,bus_station
46,,POINT (-49.2957347 -25.5118753),amenity,bus_station
47,,POINT (-49.2956416 -25.5118734),amenity,bus_station
48,,POINT (-49.2956026 -25.5134408),amenity,bus_station
49,,POINT (-49.2956957 -25.5134427),amenity,bus_station
50,,POINT (-49.2951523 -25.5118628),amenity,bus_station
51,,POINT (-49.2949909 -25.5118594),amenity,bus_station
52,,POINT (-49.2949506 -25.513429),amenity,bus_station
53,,POINT (-49.295112 -25.5134323),amenity,bus_station
54,,POINT (-49.2949419 -25.5118559),amenity,bus_station
55,,POINT (-49.2948024 -25.5118532),amenity,bus_station
56,,POINT (-49.2947674 -25.5133577),amenity,bus_station
57,,POINT (-49.2949068 -25.5133608),amenity,bus_station
58,,POINT (-49.2945195 -25.5119062),amenity,bus_station
59,,POINT (-49.2946444 -25.511909),amenity,bus_station
60,,POINT (-49.2946047 -25.5133539),amenity,bus_station
61,,POINT (-49.2944797 -25.5133511),amenity,bus_station
62,,POINT (-49.2947781 -25.5134249),amenity,bus_station
63,,POINT (-49.2947796 -25.513358),amenity,bus_station
64,,POINT (-49.2948957 -25.5134272),amenity,bus_station
65,,POINT (-49.2948973 -25.5133606),amenity,bus_station
66,,POINT (-49.2945414 -25.5133525),amenity,bus_station
67,,POINT (-49.2945728 -25.5119074),amenity,bus_station
68,,POINT (-49.2955651 -25.5118791),amenity,bus_station
69,,POINT (-49.2954966 -25.5134375),amenity,bus_station
70,,POINT (-49.2948019 -25.5118751),amenity,bus_station
71,,POINT (-49.2949904 -25.5118789),amenity,bus_station
72,,POINT (-49.2951518 -25.5118821),amenity,bus_station
73,,POINT (-49.2953149 -25.5118854),amenity,bus_station
74,,POINT (-49.2952749 -25.5134083),amenity,bus_station
75,,POINT (-49.2951127 -25.513405),amenity,bus_station
76,,POINT (-49.2949513 -25.5134018),amenity,bus_station
77,,POINT (-49.2948963 -25.5134006),amenity,bus_station
78,,POINT (-49.2947787 -25.5133983),amenity,bus_station
79,,POINT (-49.2955541 -25.5134139),amenity,bus_station
80,,POINT (-49.2956032 -25.5134149),amenity,bus_station
81,,POINT (-49.295594 -25.511891),amenity,bus_station
82,,POINT (-49.2956412 -25.511892),amenity,bus_station
83,,POINT (-49.2957343 -25.5118938),amenity,bus_station
84,,POINT (-49.2956963 -25.5134168),amenity,bus_station
85,,POINT (-49.2949414 -25.5118779),amenity,bus_station
86,,POINT (-49.2843806 -25.5065754),amenity,bus_station
87,,POINT (-49.2845586 -25.5067853),amenity,bus_station
88,,POINT (-49.2845201 -25.5068119),amenity,bus_station
89,,POINT (-49.2843421 -25.5066021),amenity,bus_station
90,,POINT (-49.2843793 -25.5069041),amenity,bus_station
91,,POINT (-49.2843412 -25.5069293),amenity,bus_station
92,,POINT (-49.2841632 -25.5067102),amenity,bus_station
93,,POINT (-49.2842013 -25.506685),amenity,bus_station
94,,POINT (-49.2845367 -25.5068005),amenity,bus_station
95,,POINT (-49.2843591 -25.5069175),amenity,bus_station
96,,POINT (-49.2936693 -25.4916777),amenity,bus_station
97,,POINT (-49.2937547 -25.4916864),amenity,bus_station
98,,POINT (-49.2936607 -25.4924359),amenity,bus_station
99,,POINT (-49.2935753 -25.4924272),amenity,bus_station
100,,POINT (-49.2935108 -25.4915836),amenity,bus_station
101,,POINT (-49.2933864 -25.4925602),amenity,bus_station
102,,POINT (-49.2932982 -25.492551),amenity,bus_station
103,,POINT (-49.2934227 -25.4915745),amenity,bus_station
104,,POINT (-49.2931457 -25.4916271),amenity,bus_station
105,,POINT (-49.2930362 -25.492487),amenity,bus_station
106,,POINT (-49.2929815 -25.4924813),amenity,bus_station
107,,POINT (-49.293091 -25.4916214),amenity,bus_station
108,,POINT (-49.2933343 -25.4916217),amenity,bus_station
109,,POINT (-49.2932192 -25.4925429),amenity,bus_station
110,,POINT (-49.2931696 -25.4925379),amenity,bus_station
111,,POINT (-49.2932847 -25.4916167),amenity,bus_station
112,,POINT (-49.2932883 -25.4919896),amenity,bus_station
113,,POINT (-49.2932387 -25.4919847),amenity,bus_station
114,,POINT (-49.2931019 -25.491971),amenity,bus_station
115,,POINT (-49.2937142 -25.4916823),amenity,bus_station
116,,POINT (-49.2936162 -25.4924314),amenity,bus_station
117,,POINT (-49.2933687 -25.4919977),amenity,bus_station
118,,POINT (-49.2933361 -25.4922535),amenity,bus_station
119,,POINT (-49.2932564 -25.492245),amenity,bus_station
120,,POINT (-49.2932069 -25.4922397),amenity,bus_station
121,,POINT (-49.2930695 -25.492225),amenity,bus_station
122,,POINT (-49.2930169 -25.4922165),amenity,bus_station
123,,POINT (-49.3277361 -25.4771622),amenity,bus_station
124,,POINT (-49.3277824 -25.4771437),amenity,bus_station
125,,POINT (-49.3277369 -25.4771673),amenity,bus_station
126,,POINT (-49.327743 -25.4772011),amenity,bus_station
127,,POINT (-49.3277986 -25.4772389),amenity,bus_station
128,,POINT (-49.3277494 -25.4772384),amenity,bus_station
129,,POINT (-49.3263946 -25.4774262),amenity,bus_station
130,,POINT (-49.3263318 -25.4774519),amenity,bus_station
131,,POINT (-49.3263638 -25.4773417),amenity,bus_station
132,,POINT (-49.3263559 -25.4774088),amenity,bus_station
133,,POINT (-49.3263973 -25.4774215),amenity,bus_station
134,,POINT (-49.3263081 -25.4774418),amenity,bus_station
135,,POINT (-49.3263873 -25.4773491),amenity,bus_station
136,,POINT (-49.3277664 -25.4771459),amenity,bus_station
137,,POINT (-49.3277824 -25.4772412),amenity,bus_station
138,,POINT (-49.3277693 -25.4771628),amenity,bus_station
139,,POINT (-49.3277749 -25.4771967),amenity,bus_station
140,,POINT (-49.3270515 -25.4774636),amenity,bus_station
141,,POINT (-49.3270586 -25.4775062),amenity,bus_station
142,,POINT (-49.3272897 -25.477475),amenity,bus_station
143,,POINT (-49.3272826 -25.4774325),amenity,bus_station
144,,POINT (-49.3264189 -25.4774228),amenity,bus_station
145,,POINT (-49.2926667 -25.4766985),amenity,bus_station
146,,POINT (-49.2929832 -25.4761113),amenity,bus_station
147,,POINT (-49.2927448 -25.4764891),amenity,bus_station
148,,POINT (-49.2928349 -25.4765155),amenity,bus_station
149,,POINT (-49.2923107 -25.4761475),amenity,bus_station
150,,POINT (-49.2928619 -25.4759473),amenity,bus_station
151,,POINT (-49.29295 -25.4762005),amenity,bus_station
152,,POINT (-49.2926968 -25.4758963),amenity,bus_station
153,,POINT (-49.2924202 -25.4766254),amenity,bus_station
154,,POINT (-49.2923372 -25.4765997),amenity,bus_station
155,,POINT (-49.2926139 -25.4758707),amenity,bus_station
156,,POINT (-49.2921891 -25.4764726),amenity,bus_station
157,,POINT (-49.292943 -25.4759719),amenity,bus_station
158,,POINT (-49.2928935 -25.4761047),amenity,bus_station
159,,POINT (-49.292943 -25.4761198),amenity,bus_station
160,,POINT (-49.2929148 -25.4761898),amenity,bus_station
161,,POINT (-49.2929214 -25.4761722),amenity,bus_station
162,,POINT (-49.2928649 -25.476155),amenity,bus_station
163,,POINT (-49.2927714 -25.4764057),amenity,bus_station
164,,POINT (-49.2928068 -25.476507),amenity,bus_station
165,,POINT (-49.2928182 -25.4764764),amenity,bus_station
