,name,geom,key,value
0,Estacao Carlos Dietzsch,POINT (-49.2943978 -25.472622),highway,bus_stop
1,Estacao Morretes,POINT (-49.2931525 -25.4676313),highway,bus_stop
2,Estação Tubo Vital Brasil,POINT (-49.2912392 -25.4646556),highway,bus_stop
3,Estacao Silva Jardim,POINT (-49.2878279 -25.4483887),highway,bus_stop
4,Estação Tubo Wenceslau Bráz,POINT (-49.2850011 -25.4774141),highway,bus_stop
5,Estação Tubo Dom Ático,POINT (-49.2802015 -25.4762588),highway,bus_stop
6,,POINT (-49.2744201 -25.5357861),highway,bus_stop
7,,POINT (-49.2826937 -25.5346727),highway,bus_stop
8,,POINT (-49.287745 -25.5308615),highway,bus_stop
9,,POINT (-49.2914937 -25.52808),highway,bus_stop
10,,POINT (-49.2339226 -25.4377181),highway,bus_stop
11,Linha Turismo - Bosque do Papa,POINT (-49.2715436 -25.4089024),highway,bus_stop
12,Linha Turismo - Museu Oscar Niemeyer,POINT (-49.266647 -25.4090791),highway,bus_stop
13,Linha Turismo - Bosque Alemão,POINT (-49.2855958 -25.407168),highway,bus_stop
14,Linha Turismo - Bosque Alemão,POINT (-49.2884577 -25.4044447),highway,bus_stop
15,Linha Turismo - Parque Tanguá,POINT (-49.2807956 -25.3783875),highway,bus_stop
16,Linha Turismo - Memorial Ucraniano,POINT (-49.3056897 -25.4024527),highway,bus_stop
17,180833,POINT (-49.2981144 -25.469024),highway,bus_stop
18,180105,POINT (-49.2995348 -25.4686985),highway,bus_stop
19,,POINT (-49.2521573 -25.4267856),highway,bus_stop
20,Linha Turismo - Memorial Arabe,POINT (-49.2686121 -25.4236305),highway,bus_stop
21,Linha Turismo - Teatro Paiol,POINT (-49.257486 -25.4480324),highway,bus_stop
22,Linha Turismo - Rua XV,POINT (-49.2742735 -25.4322296),highway,bus_stop
23,Linha Turismo - Teatro Guaíra,POINT (-49.2649894 -25.4285121),highway,bus_stop
24,Linha Turismo - Setor Historico,POINT (-49.2745155 -25.4275347),highway,bus_stop
25,Linha Turismo - Jardim Botanico,POINT (-49.2413343 -25.4419091),highway,bus_stop
26,Linha Turismo - Rua das Flores,POINT (-49.2758419 -25.4350117),highway,bus_stop
27,Linha Turismo - Mercado Municipal,POINT (-49.2570195 -25.4354269),highway,bus_stop
