,name,geom,key,value
0,,POINT (-49.2779651 -25.4322673),highway,traffic_signals
1,,POINT (-49.278541 -25.4314468),highway,traffic_signals
2,,POINT (-49.284178 -25.4294944),highway,traffic_signals
3,,POINT (-49.2105141 -25.4635408),highway,traffic_signals
4,,POINT (-49.2170335 -25.446571),highway,traffic_signals
5,,POINT (-49.2720663 -25.4397005),highway,traffic_signals
6,,POINT (-49.2929964 -25.4754808),highway,traffic_signals
7,,POINT (-49.292349 -25.4752216),highway,traffic_signals
8,,POINT (-49.2545408 -25.466439),highway,traffic_signals
9,,POINT (-49.2404579 -25.431966),highway,traffic_signals
10,,POINT (-49.2078312 -25.4433878),highway,traffic_signals
11,,POINT (-49.2602713 -25.4355951),highway,traffic_signals
12,,POINT (-49.2484468 -25.4359451),highway,traffic_signals
13,,POINT (-49.2395083 -25.4341806),highway,traffic_signals
14,,POINT (-49.2391303 -25.4320712),highway,traffic_signals
15,,POINT (-49.2493482 -25.4312161),highway,traffic_signals
16,,POINT (-49.2492239 -25.4300717),highway,traffic_signals
17,,POINT (-49.2480747 -25.4187015),highway,traffic_signals
18,,POINT (-49.2479598 -25.4173922),highway,traffic_signals
19,,POINT (-49.2613805 -25.4212221),highway,traffic_signals
20,,POINT (-49.2602812 -25.4370025),highway,traffic_signals
21,,POINT (-49.2599845 -25.4358152),highway,traffic_signals
22,,POINT (-49.2568508 -25.4358378),highway,traffic_signals
23,,POINT (-49.2700117 -25.4388279),highway,traffic_signals
24,,POINT (-49.260482 -25.435172),highway,traffic_signals
25,,POINT (-49.2511051 -25.4359908),highway,traffic_signals
26,,POINT (-49.2509289 -25.4338056),highway,traffic_signals
27,,POINT (-49.2511011 -25.4357292),highway,traffic_signals
28,,POINT (-49.2498338 -25.4397133),highway,traffic_signals
29,,POINT (-49.2150368 -25.4918014),highway,traffic_signals
30,,POINT (-49.2431937 -25.4902076),highway,traffic_signals
31,,POINT (-49.2387626 -25.501674),highway,traffic_signals
32,,POINT (-49.2373649 -25.5022964),highway,traffic_signals
33,,POINT (-49.2307458 -25.5160201),highway,traffic_signals
34,,POINT (-49.2306759 -25.5181908),highway,traffic_signals
35,,POINT (-49.2304095 -25.5158853),highway,traffic_signals
36,,POINT (-49.2370623 -25.5021875),highway,traffic_signals
37,,POINT (-49.2364661 -25.50117),highway,traffic_signals
38,,POINT (-49.2465372 -25.4828048),highway,traffic_signals
39,,POINT (-49.252765 -25.4700052),highway,traffic_signals
40,,POINT (-49.2661671 -25.4427579),highway,traffic_signals
41,,POINT (-49.2682567 -25.43833),highway,traffic_signals
42,,POINT (-49.2683887 -25.4382079),highway,traffic_signals
43,,POINT (-49.2497706 -25.4580887),highway,traffic_signals
44,,POINT (-49.2502938 -25.4592747),highway,traffic_signals
45,,POINT (-49.2535209 -25.4678712),highway,traffic_signals
46,,POINT (-49.2923643 -25.5174789),highway,traffic_signals
47,,POINT (-49.2489368 -25.4271188),highway,traffic_signals
48,,POINT (-49.2611916 -25.4271193),highway,traffic_signals
49,,POINT (-49.2637113 -25.4280879),highway,traffic_signals
50,,POINT (-49.2722365 -25.4324684),highway,traffic_signals
51,,POINT (-49.268804 -25.4310685),highway,traffic_signals
52,,POINT (-49.2489946 -25.4277661),highway,traffic_signals
53,,POINT (-49.2416438 -25.4274099),highway,traffic_signals
54,,POINT (-49.2456352 -25.4353555),highway,traffic_signals
55,,POINT (-49.2411275 -25.4179736),highway,traffic_signals
56,,POINT (-49.2503101 -25.4171997),highway,traffic_signals
57,,POINT (-49.2419585 -25.4234055),highway,traffic_signals
58,,POINT (-49.2408981 -25.4179526),highway,traffic_signals
59,,POINT (-49.244382 -25.4352937),highway,traffic_signals
60,,POINT (-49.2510974 -25.4355064),highway,traffic_signals
61,,POINT (-49.2540964 -25.4308102),highway,traffic_signals
62,,POINT (-49.2539628 -25.429676),highway,traffic_signals
63,,POINT (-49.2536926 -25.4273822),highway,traffic_signals
64,,POINT (-49.2536175 -25.4267539),highway,traffic_signals
65,,POINT (-49.252471 -25.4170109),highway,traffic_signals
66,,POINT (-49.2566007 -25.4306135),highway,traffic_signals
67,,POINT (-49.2568471 -25.4317041),highway,traffic_signals
68,,POINT (-49.2496909 -25.4396666),highway,traffic_signals
69,,POINT (-49.2429307 -25.4440931),highway,traffic_signals
70,,POINT (-49.2611207 -25.4337679),highway,traffic_signals
71,,POINT (-49.2654289 -25.4354621),highway,traffic_signals
72,,POINT (-49.267977 -25.4364641),highway,traffic_signals
73,,POINT (-49.269043 -25.4368833),highway,traffic_signals
74,,POINT (-49.2881134 -25.4443805),highway,traffic_signals
75,,POINT (-49.2539503 -25.4168999),highway,traffic_signals
76,,POINT (-49.254589 -25.4223474),highway,traffic_signals
77,,POINT (-49.2550922 -25.4266389),highway,traffic_signals
78,,POINT (-49.2551653 -25.4272619),highway,traffic_signals
79,,POINT (-49.255434 -25.4295532),highway,traffic_signals
80,,POINT (-49.2555683 -25.4306946),highway,traffic_signals
81,,POINT (-49.2529048 -25.4129789),highway,traffic_signals
82,,POINT (-49.2692069 -25.4204502),highway,traffic_signals
83,,POINT (-49.2628464 -25.4176911),highway,traffic_signals
84,,POINT (-49.2619441 -25.4167364),highway,traffic_signals
85,,POINT (-49.2697475 -25.4226544),highway,traffic_signals
86,,POINT (-49.2611811 -25.4358072),highway,traffic_signals
87,,POINT (-49.2612606 -25.4356265),highway,traffic_signals
88,,POINT (-49.2618848 -25.434201),highway,traffic_signals
89,,POINT (-49.2619358 -25.4340884),highway,traffic_signals
90,,POINT (-49.2632221 -25.431069),highway,traffic_signals
91,,POINT (-49.264061 -25.4291035),highway,traffic_signals
92,,POINT (-49.2643869 -25.4283476),highway,traffic_signals
93,,POINT (-49.2778795 -25.4384854),highway,traffic_signals
94,,POINT (-49.2765627 -25.4379801),highway,traffic_signals
95,,POINT (-49.2698502 -25.4352585),highway,traffic_signals
96,,POINT (-49.2672967 -25.4342368),highway,traffic_signals
97,,POINT (-49.2651494 -25.4333674),highway,traffic_signals
98,,POINT (-49.2626839 -25.4323214),highway,traffic_signals
99,,POINT (-49.2619334 -25.4320125),highway,traffic_signals
100,,POINT (-49.2601742 -25.4312885),highway,traffic_signals
101,,POINT (-49.2561075 -25.4265598),highway,traffic_signals
102,,POINT (-49.2561933 -25.4271779),highway,traffic_signals
103,,POINT (-49.2564828 -25.4294714),highway,traffic_signals
104,,POINT (-49.2607715 -25.4301336),highway,traffic_signals
105,,POINT (-49.2624933 -25.4307953),highway,traffic_signals
106,,POINT (-49.2592692 -25.4330398),highway,traffic_signals
107,,POINT (-49.2629093 -25.4259993),highway,traffic_signals
108,,POINT (-49.2621419 -25.4274846),highway,traffic_signals
109,,POINT (-49.259212 -25.4331499),highway,traffic_signals
110,,POINT (-49.2584894 -25.4345508),highway,traffic_signals
111,,POINT (-49.2633852 -25.4288228),highway,traffic_signals
112,,POINT (-49.2603252 -25.4352634),highway,traffic_signals
113,,POINT (-49.2603705 -25.4351288),highway,traffic_signals
114,,POINT (-49.2623791 -25.4307503),highway,traffic_signals
115,,POINT (-49.2618018 -25.4319584),highway,traffic_signals
116,,POINT (-49.2610121 -25.4337252),highway,traffic_signals
117,,POINT (-49.2635991 -25.4280448),highway,traffic_signals
118,,POINT (-49.2632934 -25.4287542),highway,traffic_signals
119,,POINT (-49.2639588 -25.4272542),highway,traffic_signals
120,,POINT (-49.2647336 -25.4275935),highway,traffic_signals
121,,POINT (-49.264048 -25.4272933),highway,traffic_signals
122,,POINT (-49.2569979 -25.4243829),highway,traffic_signals
123,,POINT (-49.2557907 -25.4237544),highway,traffic_signals
124,,POINT (-49.2484779 -25.4227729),highway,traffic_signals
125,,POINT (-49.2531141 -25.4224099),highway,traffic_signals
126,,POINT (-49.2784628 -25.4315922),highway,traffic_signals
127,,POINT (-49.2775009 -25.4335114),highway,traffic_signals
128,,POINT (-49.2744422 -25.4370772),highway,traffic_signals
129,,POINT (-49.2730118 -25.4399817),highway,traffic_signals
130,,POINT (-49.272943 -25.440129),highway,traffic_signals
131,,POINT (-49.2736529 -25.4386961),highway,traffic_signals
132,,POINT (-49.2736 -25.4388079),highway,traffic_signals
133,,POINT (-49.2722702 -25.4414866),highway,traffic_signals
134,,POINT (-49.2722173 -25.4415964),highway,traffic_signals
135,,POINT (-49.2708076 -25.444538),highway,traffic_signals
136,,POINT (-49.2700946 -25.445926),highway,traffic_signals
137,,POINT (-49.2694677 -25.4472543),highway,traffic_signals
138,,POINT (-49.2668432 -25.452602),highway,traffic_signals
139,,POINT (-49.2660993 -25.45412),highway,traffic_signals
140,,POINT (-49.2660506 -25.4542194),highway,traffic_signals
141,,POINT (-49.2920252 -25.4777924),highway,traffic_signals
142,,POINT (-49.2692311 -25.4571),highway,traffic_signals
143,,POINT (-49.2678666 -25.4558655),highway,traffic_signals
144,,POINT (-49.2638199 -25.4522043),highway,traffic_signals
145,,POINT (-49.262351 -25.4508753),highway,traffic_signals
146,,POINT (-49.2921751 -25.4778664),highway,traffic_signals
147,,POINT (-49.294186 -25.4889967),highway,traffic_signals
148,,POINT (-49.2938324 -25.4916109),highway,traffic_signals
149,,POINT (-49.2937226 -25.4925039),highway,traffic_signals
150,,POINT (-49.2934414 -25.4926797),highway,traffic_signals
151,,POINT (-49.2935662 -25.491556),highway,traffic_signals
152,,POINT (-49.2879198 -25.4511247),highway,traffic_signals
153,,POINT (-49.2958275 -25.5118445),highway,traffic_signals
154,,POINT (-49.2957172 -25.5151437),highway,traffic_signals
155,,POINT (-49.295475 -25.5203112),highway,traffic_signals
156,,POINT (-49.2870659 -25.4950073),highway,traffic_signals
157,,POINT (-49.2811261 -25.4958619),highway,traffic_signals
158,,POINT (-49.2920712 -25.4844245),highway,traffic_signals
159,,POINT (-49.2956602 -25.4793742),highway,traffic_signals
160,,POINT (-49.2960284 -25.4890173),highway,traffic_signals
161,,POINT (-49.2452723 -25.4048301),highway,traffic_signals
162,,POINT (-49.2434809 -25.4036758),highway,traffic_signals
163,,POINT (-49.2237879 -25.3907704),highway,traffic_signals
164,,POINT (-49.2540673 -25.4096799),highway,traffic_signals
165,,POINT (-49.2314698 -25.3847313),highway,traffic_signals
166,,POINT (-49.2300565 -25.3836191),highway,traffic_signals
167,,POINT (-49.2531284 -25.4049292),highway,traffic_signals
168,,POINT (-49.2590908 -25.4122717),highway,traffic_signals
169,,POINT (-49.2627225 -25.4162034),highway,traffic_signals
170,,POINT (-49.2479688 -25.4798333),highway,traffic_signals
171,,POINT (-49.2376762 -25.4720254),highway,traffic_signals
172,,POINT (-49.2413101 -25.4770858),highway,traffic_signals
173,,POINT (-49.2236129 -25.4835525),highway,traffic_signals
174,,POINT (-49.2621729 -25.4507141),highway,traffic_signals
175,,POINT (-49.2600005 -25.4498508),highway,traffic_signals
176,,POINT (-49.25803 -25.449045),highway,traffic_signals
177,,POINT (-49.2576684 -25.448945),highway,traffic_signals
178,,POINT (-49.2555616 -25.4485067),highway,traffic_signals
179,,POINT (-49.2623886 -25.4508006),highway,traffic_signals
180,,POINT (-49.2537997 -25.4282917),highway,traffic_signals
181,,POINT (-49.258517 -25.4279806),highway,traffic_signals
182,,POINT (-49.2426257 -25.4247844),highway,traffic_signals
183,,POINT (-49.2486454 -25.4243502),highway,traffic_signals
184,,POINT (-49.2811949 -25.4517186),highway,traffic_signals
185,,POINT (-49.2649383 -25.4455225),highway,traffic_signals
186,,POINT (-49.2647539 -25.4454531),highway,traffic_signals
187,,POINT (-49.2743946 -25.4424186),highway,traffic_signals
188,,POINT (-49.2675745 -25.4398378),highway,traffic_signals
189,,POINT (-49.2651334 -25.4389216),highway,traffic_signals
190,,POINT (-49.261131 -25.4373403),highway,traffic_signals
191,,POINT (-49.2605683 -25.4371166),highway,traffic_signals
192,,POINT (-49.2867649 -25.4470899),highway,traffic_signals
193,,POINT (-49.2909635 -25.4456403),highway,traffic_signals
194,,POINT (-49.2609618 -25.433838),highway,traffic_signals
195,,POINT (-49.2610683 -25.4338799),highway,traffic_signals
196,,POINT (-49.2629808 -25.434632),highway,traffic_signals
