,name,geom,key,value
0,VR Contabilidade,POINT (-49.3498683 -25.416852),office,accountant
1,Escon Contabilidade,POINT (-49.2714882 -25.435506),office,accountant
2,Abalise Contabilidade,POINT (-49.2240115 -25.4523183),office,accountant
3,,POINT (-49.2154494 -25.3823977),office,accountant
4,,POINT (-49.2153359 -25.3824021),office,accountant
5,,POINT (-49.2153407 -25.3825068),office,accountant
6,,POINT (-49.2154542 -25.3825068),office,accountant
7,GGW,"POLYGON ((-49.2154494 -25.3823977, -49.2153359 -25.3824021, -49.2153407 -25.3825068, -49.2154542 -25.3825068, -49.2154494 -25.3823977))",office,accountant
0,Motion Digital,POINT (-49.2906415 -25.4263862),office,advertising_agency
0,,POINT (-49.2415222 -25.4201785),office,architect
1,Vertrag Planejamento Urbano,POINT (-49.3295377 -25.436727),office,architect
0,Sinduscon-PR,POINT (-49.2680348 -25.4212442),office,association
1,Federalcred Sul,POINT (-49.2561111 -25.435176),office,association
2,Sindicom,POINT (-49.2642062 -25.4284077),office,association
3,Associação Metrocard,POINT (-49.2632668 -25.4300044),office,association
4,Associação de Delegados de Polícia do Paraná,POINT (-49.2883383 -25.4268815),office,association
5,Sesi Internacional de Curitiba,POINT (-49.2438287 -25.4461278),office,association
6,,POINT (-49.2910284 -25.4517855),office,association
7,,POINT (-49.290783 -25.4516613),office,association
8,,POINT (-49.2909318 -25.4514216),office,association
9,,POINT (-49.2911772 -25.4515458),office,association
10,Associação Médica do Paraná,"POLYGON ((-49.2910284 -25.4517855, -49.290783 -25.4516613, -49.2909318 -25.4514216, -49.2911772 -25.4515458, -49.2910284 -25.4517855))",office,association
0,Candeias,POINT (-49.2679628 -25.4305742),office,company
1,Microum,POINT (-49.3045382 -25.4514361),office,company
2,São de Beleza,POINT (-49.2812265 -25.4296522),office,company
3,Electro VIBE - Festas & Eventos,POINT (-49.2050589 -25.4103708),office,company
4,Tucumann,POINT (-49.359924 -25.4235265),office,company
5,Aldeia Coworking,POINT (-49.2695422 -25.4205904),office,company
6,Copel,POINT (-49.2735855 -25.4349784),office,company
7,Agiplan,POINT (-49.2725171 -25.4332586),office,company
8,M & F Serviços Financeiros,POINT (-49.2720141 -25.434408),office,company
9,Marcfrio Refrigeração,POINT (-49.2395721 -25.4574086),office,company
10,Redisul Informática Ltda,POINT (-49.2243341 -25.4113402),office,company
11,Jiga Soluções e Tecnologia,POINT (-49.2963296 -25.4331833),office,company
12,Radio Taxi Capital-3264-64,POINT (-49.2191107 -25.4435301),office,company
13,Atendimento URBS,POINT (-49.2725992 -25.4354175),office,company
14,SFERA - Câmara de Mediação e Arbitragem,POINT (-49.3017698 -25.433818),office,company
15,MaxxiGrafica,POINT (-49.3108511 -25.4818678),office,company
16,Solfus Engenharia e Conservação de Energia,POINT (-49.2947857 -25.541926),office,company
17,WAVidros Temperados,POINT (-49.1975214 -25.4863251),office,company
18,MMdrone - Imagens & Topografia,POINT (-49.2655067 -25.3983431),office,company
19,Militec Brasil,POINT (-49.2567237 -25.4656555),office,company
20,LigTaxi,POINT (-49.2700057 -25.4527107),office,company
21,Consilux Tecnologia,POINT (-49.291097 -25.4053797),office,company
22,Tiquin,POINT (-49.2579237 -25.4368206),office,company
23,Mannala Esquadrias de Alumínio,POINT (-49.2222071 -25.5041458),office,company
24,Catarinense,POINT (-49.2571129 -25.4363044),office,company
25,Cometa,POINT (-49.2571946 -25.4363554),office,company
26,Kaissara,POINT (-49.257341 -25.4364496),office,company
27,Itapemirim,POINT (-49.2574245 -25.4365),office,company
28,Princesa dos Campos,POINT (-49.2569214 -25.4367784),office,company
29,Maringá,POINT (-49.2570639 -25.4368649),office,company
30,Graciosa,POINT (-49.2568024 -25.4367067),office,company
31,Expresso do Sul,POINT (-49.25726 -25.4363946),office,company
32,LTSL Transportadora - CWB,POINT (-49.3374427 -25.4927348),office,company
33,TRUXX TRANSPORTES,POINT (-49.3029006 -25.5492643),office,company
34,,POINT (-49.2746988 -25.5721708),office,company
35,,POINT (-49.2748822 -25.5719999),office,company
36,,POINT (-49.2747573 -25.5719011),office,company
37,,POINT (-49.2745821 -25.5720848),office,company
38,,POINT (-49.345328 -25.4297297),office,company
39,,POINT (-49.3452056 -25.4297303),office,company
40,,POINT (-49.3450905 -25.4297242),office,company
41,,POINT (-49.3449761 -25.4298132),office,company
42,,POINT (-49.3449771 -25.4297232),office,company
43,,POINT (-49.3449754 -25.4298702),office,company
44,,POINT (-49.3450881 -25.4298718),office,company
45,,POINT (-49.3450877 -25.4297301),office,company
46,,POINT (-49.3452065 -25.4298706),office,company
47,,POINT (-49.3453288 -25.42987),office,company
48,,POINT (-49.2864671 -25.4324717),office,company
49,,POINT (-49.2863953 -25.4325959),office,company
50,,POINT (-49.2866327 -25.4326897),office,company
51,,POINT (-49.286693 -25.4325638),office,company
52,,POINT (-49.2316313 -25.5067692),office,company
53,,POINT (-49.2315428 -25.5069351),office,company
54,,POINT (-49.2315911 -25.506952),office,company
55,,POINT (-49.2314932 -25.5071457),office,company
56,,POINT (-49.231862 -25.5072885),office,company
57,,POINT (-49.2320403 -25.5069242),office,company
58,,POINT (-49.2569046 -25.4653445),office,company
59,,POINT (-49.2588626 -25.4642433),office,company
60,,POINT (-49.2568051 -25.4653074),office,company
61,,POINT (-49.2566623 -25.4656194),office,company
62,,POINT (-49.2567618 -25.4656565),office,company
63,,POINT (-49.2219202 -25.4687204),office,company
64,,POINT (-49.2222689 -25.4685243),office,company
65,,POINT (-49.2220409 -25.4686502),office,company
66,,POINT (-49.2220195 -25.4687664),office,company
67,,POINT (-49.2219766 -25.4686212),office,company
68,,POINT (-49.2218156 -25.4686817),office,company
69,,POINT (-49.2221214 -25.4688173),office,company
70,,POINT (-49.2220517 -25.4687083),office,company
71,,POINT (-49.221948 -25.4683991),office,company
72,,POINT (-49.2585789 -25.4632013),office,company
73,,POINT (-49.2581975 -25.4639765),office,company
74,,POINT (-49.2592441 -25.4634682),office,company
75,,POINT (-49.270472 -25.441732),office,company
76,,POINT (-49.270184 -25.44237),office,company
77,,POINT (-49.2703584 -25.4424317),office,company
78,,POINT (-49.2706494 -25.4418044),office,company
79,,POINT (-49.2704938 -25.4417426),office,company
80,,POINT (-49.2779274 -25.4284411),office,company
81,,POINT (-49.2779018 -25.4284892),office,company
82,,POINT (-49.2776963 -25.4284001),office,company
83,,POINT (-49.2777219 -25.4283519),office,company
84,,POINT (-49.2703493 -25.4167139),office,company
85,,POINT (-49.2702366 -25.4167321),office,company
86,,POINT (-49.2702594 -25.4168423),office,company
87,,POINT (-49.2703707 -25.4168217),office,company
88,,POINT (-49.2143599 -25.451331),office,company
89,,POINT (-49.2144584 -25.4513599),office,company
90,,POINT (-49.2139625 -25.4513776),office,company
91,,POINT (-49.2142771 -25.4513989),office,company
92,,POINT (-49.2143299 -25.4514144),office,company
93,,POINT (-49.2141758 -25.4514401),office,company
94,,POINT (-49.2142295 -25.4515314),office,company
95,,POINT (-49.2139047 -25.4515381),office,company
96,,POINT (-49.2143716 -25.4516012),office,company
97,,POINT (-49.214118 -25.4516006),office,company
98,,POINT (-49.214142 -25.4515339),office,company
99,,POINT (-49.2141512 -25.4515085),office,company
100,,POINT (-49.2145002 -25.4481098),office,company
101,,POINT (-49.214993 -25.4482601),office,company
102,,POINT (-49.2146396 -25.4477371),office,company
103,,POINT (-49.2151324 -25.4478874),office,company
104,,POINT (-49.2088178 -25.3661956),office,company
105,,POINT (-49.2089512 -25.3663835),office,company
106,,POINT (-49.2092094 -25.3662247),office,company
107,,POINT (-49.2090914 -25.3660526),office,company
108,Rumo,"POLYGON ((-49.2151324 -25.4478874, -49.214993 -25.4482601, -49.2145002 -25.4481098, -49.2146396 -25.4477371, -49.2151324 -25.4478874))",office,company
109,Engefoto,"POLYGON ((-49.2222689 -25.4685243, -49.221948 -25.4683991, -49.2218156 -25.4686817, -49.2219202 -25.4687204, -49.2219766 -25.4686212, -49.2220409 -25.4686502, -49.2220517 -25.4687083, -49.2220195 -25.4687664, -49.2221214 -25.4688173, -49.2222689 -25.4685243))",office,company
110,Brado Logística,"POLYGON ((-49.214118 -25.4516006, -49.214142 -25.4515339, -49.2143716 -25.4516012, -49.2144584 -25.4513599, -49.2143599 -25.451331, -49.2143299 -25.4514144, -49.2142771 -25.4513989, -49.2142295 -25.4515314, -49.2141512 -25.4515085, -49.2141758 -25.4514401, -49.2139625 -25.4513776, -49.2139047 -25.4515381, -49.214118 -25.4516006))",office,company
111,Sakaguti Arquitetos Associados,"POLYGON ((-49.2703493 -25.4167139, -49.2702366 -25.4167321, -49.2702594 -25.4168423, -49.2703707 -25.4168217, -49.2703493 -25.4167139))",office,company
112,APP Sindicato - Sindicato dos Trabalhadores em Educação Pública do Paraná,"POLYGON ((-49.2704938 -25.4417426, -49.2706494 -25.4418044, -49.2703584 -25.4424317, -49.270184 -25.44237, -49.270472 -25.441732, -49.2704938 -25.4417426))",office,company
113,Banamarques Distribuidora de Bananas,"POLYGON ((-49.2090914 -25.3660526, -49.2092094 -25.3662247, -49.2089512 -25.3663835, -49.2088178 -25.3661956, -49.2090914 -25.3660526))",office,company
114,TTradição Construtora de Obras LTDA,"POLYGON ((-49.286693 -25.4325638, -49.2866327 -25.4326897, -49.2863953 -25.4325959, -49.2864671 -25.4324717, -49.286693 -25.4325638))",office,company
115,Cavsteel Welding Ltda,"POLYGON ((-49.2320403 -25.5069242, -49.231862 -25.5072885, -49.2314932 -25.5071457, -49.2315911 -25.506952, -49.2315428 -25.5069351, -49.2316313 -25.5067692, -49.2320403 -25.5069242))",office,company
116,,"POLYGON ((-49.2779274 -25.4284411, -49.2779018 -25.4284892, -49.2776963 -25.4284001, -49.2777219 -25.4283519, -49.2779274 -25.4284411))",office,company
117,Bonato Comércio e Beneficiamento de Ferragens,"POLYGON ((-49.2746988 -25.5721708, -49.2748822 -25.5719999, -49.2747573 -25.5719011, -49.2745821 -25.5720848, -49.2746988 -25.5721708))",office,company
118,Militec Brasil,"POLYGON ((-49.2568051 -25.4653074, -49.2566623 -25.4656194, -49.2567618 -25.4656565, -49.2569046 -25.4653445, -49.2568051 -25.4653074))",office,company
119,Honda Niponsul,"POLYGON ((-49.2585789 -25.4632013, -49.2581975 -25.4639765, -49.2588626 -25.4642433, -49.2592441 -25.4634682, -49.2585789 -25.4632013))",office,company
120,Neosolo Engenharia Geotécnica,"POLYGON ((-49.3450905 -25.4297242, -49.3449771 -25.4297232, -49.3449761 -25.4298132, -49.3449754 -25.4298702, -49.3450881 -25.4298718, -49.3450877 -25.4297301, -49.3450905 -25.4297242))",office,company
121,Power Scan Tecnologia Ltda.,"POLYGON ((-49.3452056 -25.4297303, -49.345328 -25.4297297, -49.3453288 -25.42987, -49.3452065 -25.4298706, -49.3452056 -25.4297303))",office,company
0,Consulado Geral da Itália,POINT (-49.2664271 -25.4303328),office,diplomatic
1,Consulado Honorário da Alemanha,POINT (-49.2732207 -25.4260879),office,diplomatic
2,Consulado da Espanha,POINT (-49.2966105 -25.4865655),office,diplomatic
3,Consulado de Portugal,POINT (-49.2797311 -25.433674),office,diplomatic
4,Consulado do Uruguai,POINT (-49.2791901 -25.4329012),office,diplomatic
5,,POINT (-49.2830005 -25.4409207),office,diplomatic
6,,POINT (-49.2829508 -25.4410255),office,diplomatic
7,,POINT (-49.2828448 -25.4409846),office,diplomatic
8,,POINT (-49.28281 -25.4410579),office,diplomatic
9,,POINT (-49.2827562 -25.4410371),office,diplomatic
10,,POINT (-49.2827864 -25.4409733),office,diplomatic
11,,POINT (-49.2827692 -25.4409667),office,diplomatic
12,,POINT (-49.2828234 -25.4408523),office,diplomatic
13,,POINT (-49.2623722 -25.4219992),office,diplomatic
14,,POINT (-49.2621282 -25.4217885),office,diplomatic
15,,POINT (-49.261929 -25.42216),office,diplomatic
16,,POINT (-49.2620384 -25.4219411),office,diplomatic
17,,POINT (-49.2623964 -25.4220586),office,diplomatic
18,,POINT (-49.2622837 -25.4223262),office,diplomatic
19,,POINT (-49.2619176 -25.4221773),office,diplomatic
20,Consulado Geral do Paraguai,"POLYGON ((-49.2830005 -25.4409207, -49.2829508 -25.4410255, -49.2828448 -25.4409846, -49.28281 -25.4410579, -49.2827562 -25.4410371, -49.2827864 -25.4409733, -49.2827692 -25.4409667, -49.2828234 -25.4408523, -49.2830005 -25.4409207))",office,diplomatic
21,Consulado Geral da Polônia,"POLYGON ((-49.2623722 -25.4219992, -49.2623964 -25.4220586, -49.2622837 -25.4223262, -49.2619176 -25.4221773, -49.261929 -25.42216, -49.2620384 -25.4219411, -49.2621282 -25.4217885, -49.2623722 -25.4219992))",office,diplomatic
0,Imobiliária Apolar Jd. das Américas,POINT (-49.2305768 -25.4536246),office,estate_agent
1,Kondor Imóveis,POINT (-49.3332236 -25.4010156),office,estate_agent
2,Imobiliária M2,POINT (-49.239536 -25.4586826),office,estate_agent
3,R5 Imobiliária,POINT (-49.2192546 -25.4512516),office,estate_agent
4,,POINT (-49.2385906 -25.4589775),office,estate_agent
5,,POINT (-49.2384575 -25.4589841),office,estate_agent
6,,POINT (-49.2385483 -25.4590368),office,estate_agent
7,,POINT (-49.2384998 -25.4589248),office,estate_agent
8,,POINT (-49.2784294 -25.4285554),office,estate_agent
9,,POINT (-49.278395 -25.4286391),office,estate_agent
10,,POINT (-49.2782453 -25.4285889),office,estate_agent
11,,POINT (-49.2782797 -25.4285052),office,estate_agent
12,Boulevard Imóveis,"POLYGON ((-49.2385483 -25.4590368, -49.2385906 -25.4589775, -49.2384998 -25.4589248, -49.2384575 -25.4589841, -49.2385483 -25.4590368))",office,estate_agent
13,,"POLYGON ((-49.2784294 -25.4285554, -49.278395 -25.4286391, -49.2782453 -25.4285889, -49.2782797 -25.4285052, -49.2784294 -25.4285554))",office,estate_agent
0,Zeru Coin,POINT (-49.2676651 -25.4385652),office,financial
0,Fundação de Ação Social - FAS,POINT (-49.348705 -25.4466008),office,foundation
