,name,geom,key,value
0,IBGE,POINT (-49.2804357 -25.4330642),office,government
1,Sanepar - USHG,POINT (-49.2560522 -25.4425753),office,government
2,Cartório Volpi 7º Tabelião,POINT (-49.2698393 -25.4316277),office,government
3,Secretaria Estadual de Educação,POINT (-49.2926313 -25.4537435),office,government
4,Poder Judiciário Fórum Cível 2,POINT (-49.2712148 -25.4172518),office,government
5,Paranacidade,POINT (-49.2668268 -25.4116977),office,government
6,Tribunal de Contas da União,POINT (-49.2634487 -25.4247605),office,government
7,CCO URBS,POINT (-49.2561321 -25.4370851),office,government
8,Conselho Regional de Contabilidade CRC PR,POINT (-49.2452443 -25.4272434),office,government
9,MPF-PR Ministério Público Federal no Estado do Paraná,POINT (-49.2638166 -25.4288888),office,government
10,Companhia paranaense de habitação,POINT (-49.2361338 -25.4358067),office,government
11,Secretaria Municipal de Comunicação Social,POINT (-49.2664768 -25.4199107),office,government
12,Instituto de Previdência dos Servidores do Município de Curitiba,POINT (-49.2665759 -25.4198353),office,government
13,Instituto Municipal de Administração Pública,POINT (-49.2666594 -25.4198448),office,government
14,Secretaria Municipal de Urbanismo de Curitiba,POINT (-49.2663568 -25.4197411),office,government
15,Secretaria Municipal de Recursos Humanos de Curitiba,POINT (-49.2665237 -25.420005),office,government
16,Projeto Vida Nova,POINT (-49.2664298 -25.4197411),office,government
17,Serviço Distrital do Novo Mundo,POINT (-49.2946351 -25.4820195),office,government
18,COPEL N. Mundo,POINT (-49.2942696 -25.4904722),office,government
19,CRAS - Novo Mundo,POINT (-49.2851604 -25.4945148),office,government
20,Procon - Departamento Estadual de Proteção e Defesa ao Consumidor,POINT (-49.2731552 -25.4332778),office,government
21,CRAS Alto Boqueirão,POINT (-49.2302789 -25.5254963),office,government
22,Sanepar,POINT (-49.2226204 -25.4299961),office,government
23,Museu do Saneamento Sanepar,POINT (-49.2225802 -25.4296994),office,government
24,Secretaria de Estado de Esporte e Turismo do Paraná,POINT (-49.2083685 -25.4336441),office,government
25,Cartório do Campo Comprido,POINT (-49.3456842 -25.4411099),office,government
26,Câmara de Comércio e Indústria Brasil-Alemanha,POINT (-49.2731506 -25.4260913),office,government
27,,POINT (-49.33196 -25.5762889),office,government
28,,POINT (-49.3326765 -25.5755479),office,government
29,,POINT (-49.332248 -25.5755982),office,government
30,,POINT (-49.3322728 -25.5757842),office,government
31,,POINT (-49.3321393 -25.5757963),office,government
32,,POINT (-49.3322045 -25.5761432),office,government
33,,POINT (-49.3319556 -25.5761772),office,government
34,,POINT (-49.3313578 -25.5755218),office,government
35,,POINT (-49.3314466 -25.5755084),office,government
36,,POINT (-49.3321865 -25.5760381),office,government
37,,POINT (-49.3325879 -25.5751249),office,government
38,,POINT (-49.3308144 -25.5753608),office,government
39,,POINT (-49.332326 -25.5753702),office,government
40,,POINT (-49.3322946 -25.5752073),office,government
41,,POINT (-49.3313275 -25.5753576),office,government
42,,POINT (-49.3318269 -25.57528),office,government
43,,POINT (-49.3199731 -25.5144478),office,government
44,,POINT (-49.3198446 -25.5146906),office,government
45,,POINT (-49.3192744 -25.5144448),office,government
46,,POINT (-49.3194029 -25.5142021),office,government
47,,POINT (-49.2955148 -25.513837),office,government
48,,POINT (-49.2955841 -25.5139614),office,government
49,,POINT (-49.2943936 -25.5139459),office,government
50,,POINT (-49.2944814 -25.5138621),office,government
51,,POINT (-49.2950084 -25.5139575),office,government
52,,POINT (-49.2945297 -25.5139481),office,government
53,,POINT (-49.2951399 -25.5139594),office,government
54,,POINT (-49.2951378 -25.5140759),office,government
55,,POINT (-49.2954242 -25.5140803),office,government
56,,POINT (-49.2954252 -25.5140254),office,government
57,,POINT (-49.2955454 -25.5140273),office,government
58,,POINT (-49.2955467 -25.5139608),office,government
59,,POINT (-49.2955852 -25.5139021),office,government
60,,POINT (-49.2955472 -25.5139015),office,government
61,,POINT (-49.2955485 -25.5138375),office,government
62,,POINT (-49.2955158 -25.5137833),office,government
63,,POINT (-49.2951234 -25.5137772),office,government
64,,POINT (-49.2951216 -25.513869),office,government
65,,POINT (-49.2949965 -25.5138671),office,government
66,,POINT (-49.2949974 -25.5138209),office,government
67,,POINT (-49.2949607 -25.5137743),office,government
68,,POINT (-49.2949598 -25.5138204),office,government
69,,POINT (-49.294718 -25.5137705),office,government
70,,POINT (-49.2947172 -25.5138125),office,government
71,,POINT (-49.2944824 -25.5138088),office,government
72,,POINT (-49.2943953 -25.5138607),office,government
73,,POINT (-49.2950714 -25.5139584),office,government
74,,POINT (-49.2950171 -25.5139577),office,government
75,,POINT (-49.3275978 -25.4778694),office,government
76,,POINT (-49.3275604 -25.4778767),office,government
77,,POINT (-49.3276098 -25.4779359),office,government
78,,POINT (-49.3275738 -25.4779412),office,government
79,,POINT (-49.3267649 -25.4779943),office,government
80,,POINT (-49.3266368 -25.4780114),office,government
81,,POINT (-49.3268288 -25.4780513),office,government
82,,POINT (-49.3267077 -25.4780692),office,government
83,,POINT (-49.3261673 -25.4780807),office,government
84,,POINT (-49.3261069 -25.4780897),office,government
85,,POINT (-49.3261962 -25.4781447),office,government
86,,POINT (-49.3261189 -25.4781561),office,government
87,,POINT (-49.326664 -25.4780092),office,government
88,,POINT (-49.3208145 -25.4882789),office,government
89,,POINT (-49.3206116 -25.4883985),office,government
90,,POINT (-49.3213774 -25.4884051),office,government
91,,POINT (-49.3212524 -25.4884812),office,government
92,,POINT (-49.3210131 -25.4885535),office,government
93,,POINT (-49.3215518 -25.4886388),office,government
94,,POINT (-49.3214267 -25.4887148),office,government
95,,POINT (-49.3211824 -25.4887875),office,government
96,,POINT (-49.3209795 -25.4889071),office,government
97,,POINT (-49.3238238 -25.4764213),office,government
98,,POINT (-49.3239417 -25.4764574),office,government
99,,POINT (-49.3237628 -25.4765789),office,government
100,,POINT (-49.323887 -25.4766112),office,government
101,,POINT (-49.3063727 -25.4863061),office,government
102,,POINT (-49.3062922 -25.4863061),office,government
103,,POINT (-49.3062868 -25.4864248),office,government
104,,POINT (-49.30637 -25.4864223),office,government
105,,POINT (-49.3675841 -25.4419655),office,government
106,,POINT (-49.3676265 -25.4420998),office,government
107,,POINT (-49.3675051 -25.4421311),office,government
108,,POINT (-49.3674627 -25.4419968),office,government
109,,POINT (-49.3013662 -25.4151846),office,government
110,,POINT (-49.3014091 -25.414671),office,government
111,,POINT (-49.3016558 -25.4144166),office,government
112,,POINT (-49.3020099 -25.414327),office,government
113,,POINT (-49.3023452 -25.4143221),office,government
114,,POINT (-49.3024551 -25.4146153),office,government
115,,POINT (-49.3023773 -25.4146807),office,government
116,,POINT (-49.30249 -25.4149443),office,government
117,,POINT (-49.301621 -25.4152476),office,government
118,,POINT (-49.3014627 -25.4152355),office,government
119,,POINT (-49.3308124 -25.4003698),office,government
120,,POINT (-49.3303115 -25.4000128),office,government
121,,POINT (-49.3293083 -25.4012828),office,government
122,,POINT (-49.3292155 -25.4011806),office,government
123,,POINT (-49.330537 -25.4002613),office,government
124,,POINT (-49.3306428 -25.4001829),office,government
125,,POINT (-49.3295517 -25.4011025),office,government
126,,POINT (-49.3299484 -25.4002818),office,government
127,,POINT (-49.3301416 -25.4004946),office,government
128,,POINT (-49.3298183 -25.4011061),office,government
129,,POINT (-49.2661503 -25.5450668),office,government
130,,POINT (-49.2654419 -25.5454456),office,government
131,,POINT (-49.2652033 -25.5452847),office,government
132,,POINT (-49.2659861 -25.5449136),office,government
133,,POINT (-49.2480432 -25.4857863),office,government
134,,POINT (-49.2482115 -25.4857982),office,government
135,,POINT (-49.2480311 -25.4858111),office,government
136,,POINT (-49.248058 -25.4858218),office,government
137,,POINT (-49.2479894 -25.4858265),office,government
138,,POINT (-49.2481893 -25.485844),office,government
139,,POINT (-49.2480451 -25.4858485),office,government
140,,POINT (-49.2483604 -25.485857),office,government
141,,POINT (-49.2481365 -25.4858846),office,government
142,,POINT (-49.2481175 -25.4859239),office,government
143,,POINT (-49.2481453 -25.4859349),office,government
144,,POINT (-49.2479269 -25.4859555),office,government
145,,POINT (-49.248267 -25.4859829),office,government
146,,POINT (-49.2480164 -25.4859909),office,government
147,,POINT (-49.2482942 -25.4859936),office,government
148,,POINT (-49.248074 -25.4860136),office,government
149,,POINT (-49.2479647 -25.4860977),office,government
150,,POINT (-49.2481719 -25.4861794),office,government
151,,POINT (-49.2457411 -25.4823139),office,government
152,,POINT (-49.2458102 -25.4821771),office,government
153,,POINT (-49.2460349 -25.4822135),office,government
154,,POINT (-49.2463027 -25.4823237),office,government
155,,POINT (-49.2462102 -25.4825069),office,government
156,,POINT (-49.2460115 -25.4822599),office,government
157,,POINT (-49.2825035 -25.4402662),office,government
158,,POINT (-49.2826435 -25.4398838),office,government
159,,POINT (-49.2824826 -25.4402253),office,government
160,,POINT (-49.2826886 -25.4398787),office,government
161,,POINT (-49.2827288 -25.4398859),office,government
162,,POINT (-49.282769 -25.439932),office,government
163,,POINT (-49.2826081 -25.4402759),office,government
164,,POINT (-49.2825411 -25.440288),office,government
165,,POINT (-49.2657835 -25.4403871),office,government
166,,POINT (-49.2657246 -25.4404989),office,government
167,,POINT (-49.2664971 -25.4406567),office,government
168,,POINT (-49.266494 -25.4406629),office,government
169,,POINT (-49.2664431 -25.4407669),office,government
170,,POINT (-49.2595573 -25.4418681),office,government
171,,POINT (-49.2584401 -25.4406741),office,government
172,,POINT (-49.2590028 -25.4416568),office,government
173,,POINT (-49.2590619 -25.4416793),office,government
174,,POINT (-49.2596489 -25.4418201),office,government
175,,POINT (-49.2598902 -25.4409249),office,government
176,,POINT (-49.2597667 -25.4405325),office,government
177,,POINT (-49.2595804 -25.4402594),office,government
178,,POINT (-49.2592297 -25.4400045),office,government
179,,POINT (-49.2591018 -25.4399474),office,government
180,,POINT (-49.2587624 -25.4398401),office,government
181,,POINT (-49.2580568 -25.4396732),office,government
182,,POINT (-49.2576809 -25.440135),office,government
183,,POINT (-49.2575114 -25.4403688),office,government
184,,POINT (-49.2585035 -25.4406971),office,government
185,,POINT (-49.2596955 -25.4403805),office,government
186,,POINT (-49.2553326 -25.4571097),office,government
187,,POINT (-49.2561203 -25.4564398),office,government
188,,POINT (-49.2554509 -25.4568646),office,government
189,,POINT (-49.2557228 -25.4572632),office,government
190,,POINT (-49.2557301 -25.4562862),office,government
191,,POINT (-49.2809609 -25.4350695),office,government
192,,POINT (-49.2806655 -25.4353432),office,government
193,,POINT (-49.2805609 -25.4352511),office,government
194,,POINT (-49.2808564 -25.4349775),office,government
195,,POINT (-49.2751006 -25.4312391),office,government
196,,POINT (-49.2762474 -25.4313165),office,government
197,,POINT (-49.2775148 -25.4284114),office,government
198,,POINT (-49.2774911 -25.4284911),office,government
199,,POINT (-49.2770971 -25.4283938),office,government
200,,POINT (-49.2771149 -25.4283173),office,government
201,,POINT (-49.2795289 -25.4295382),office,government
202,,POINT (-49.2797369 -25.4296132),office,government
203,,POINT (-49.2796936 -25.4297212),office,government
204,,POINT (-49.2794796 -25.4296405),office,government
205,,POINT (-49.274345 -25.4299445),office,government
206,,POINT (-49.2741198 -25.4298692),office,government
207,,POINT (-49.2742009 -25.4296714),office,government
208,,POINT (-49.2744298 -25.4297479),office,government
209,,POINT (-49.2743973 -25.4298272),office,government
210,,POINT (-49.2744258 -25.4298367),office,government
211,,POINT (-49.2744055 -25.4298863),office,government
212,,POINT (-49.2743734 -25.4298755),office,government
213,,POINT (-49.2743095 -25.4306778),office,government
214,,POINT (-49.2742618 -25.4307528),office,government
215,,POINT (-49.2742735 -25.4307584),office,government
216,,POINT (-49.2744642 -25.430733),office,government
217,,POINT (-49.2743744 -25.4308061),office,government
218,,POINT (-49.274418 -25.4308218),office,government
219,,POINT (-49.2746117 -25.4308442),office,government
220,,POINT (-49.2743495 -25.4308642),office,government
221,,POINT (-49.2746741 -25.4308685),office,government
222,,POINT (-49.2742109 -25.4308985),office,government
223,,POINT (-49.274222 -25.4309262),office,government
224,,POINT (-49.2745587 -25.430943),office,government
225,,POINT (-49.2742565 -25.4309585),office,government
226,,POINT (-49.2747828 -25.4309789),office,government
227,,POINT (-49.2749557 -25.4309814),office,government
228,,POINT (-49.2750515 -25.4310136),office,government
229,,POINT (-49.2749351 -25.4310313),office,government
230,,POINT (-49.2745352 -25.4310574),office,government
231,,POINT (-49.2750316 -25.4310617),office,government
232,,POINT (-49.2745172 -25.4310587),office,government
233,,POINT (-49.2745812 -25.4310658),office,government
234,,POINT (-49.2747222 -25.4311125),office,government
235,,POINT (-49.2751598 -25.4311049),office,government
236,,POINT (-49.2742196 -25.4308525),office,government
237,,POINT (-49.2754013 -25.4305524),office,government
238,,POINT (-49.275345 -25.4306802),office,government
239,,POINT (-49.2752246 -25.4304989),office,government
240,,POINT (-49.275174 -25.4306201),office,government
241,,POINT (-49.2761138 -25.4312122),office,government
242,,POINT (-49.2763724 -25.4312155),office,government
243,,POINT (-49.2761645 -25.4310314),office,government
244,,POINT (-49.2760385 -25.4311428),office,government
245,,POINT (-49.2762531 -25.4311101),office,government
246,,POINT (-49.2746455 -25.4309317),office,government
247,,POINT (-49.2750953 -25.4292065),office,government
248,,POINT (-49.275041 -25.4293367),office,government
249,,POINT (-49.2751504 -25.4293739),office,government
250,,POINT (-49.2751723 -25.4293213),office,government
251,,POINT (-49.2751879 -25.4293544),office,government
252,,POINT (-49.275252 -25.4293298),office,government
253,,POINT (-49.2752259 -25.4292743),office,government
254,,POINT (-49.2751861 -25.4292896),office,government
255,,POINT (-49.2752052 -25.4292439),office,government
256,,POINT (-49.2743383 -25.4298286),office,government
257,,POINT (-49.2742552 -25.4298014),office,government
258,,POINT (-49.2742677 -25.4297702),office,government
259,,POINT (-49.2743509 -25.4297975),office,government
260,,POINT (-49.266375 -25.4318436),office,government
261,,POINT (-49.2659814 -25.4318543),office,government
262,,POINT (-49.2660506 -25.4317135),office,government
263,,POINT (-49.2663057 -25.4319844),office,government
264,,POINT (-49.2650154 -25.4351811),office,government
265,,POINT (-49.2646267 -25.4349279),office,government
266,,POINT (-49.2654472 -25.4349945),office,government
267,,POINT (-49.2652917 -25.4352947),office,government
268,,POINT (-49.2652729 -25.4349267),office,government
269,,POINT (-49.2645845 -25.4347079),office,government
270,,POINT (-49.2647096 -25.4347577),office,government
271,,POINT (-49.2651817 -25.4351178),office,government
272,,POINT (-49.2650896 -25.4349568),office,government
273,,POINT (-49.265069 -25.4350767),office,government
274,,POINT (-49.2646491 -25.4348819),office,government
275,,POINT (-49.2648477 -25.4349501),office,government
276,,POINT (-49.2648843 -25.4348751),office,government
277,,POINT (-49.2648209 -25.4350051),office,government
278,,POINT (-49.2649876 -25.4351661),office,government
279,,POINT (-49.264505 -25.4349743),office,government
280,,POINT (-49.2644628 -25.4349576),office,government
281,,POINT (-49.2668234 -25.4339358),office,government
282,,POINT (-49.2672066 -25.4340857),office,government
283,,POINT (-49.267222 -25.4340535),office,government
284,,POINT (-49.2672836 -25.4340775),office,government
285,,POINT (-49.2674626 -25.4337026),office,government
286,,POINT (-49.2674215 -25.4336866),office,government
287,,POINT (-49.2674132 -25.4337039),office,government
288,,POINT (-49.2673466 -25.433678),office,government
289,,POINT (-49.2671659 -25.4337163),office,government
290,,POINT (-49.2668657 -25.4338472),office,government
291,,POINT (-49.2672101 -25.4339634),office,government
292,,POINT (-49.2671846 -25.4339755),office,government
293,,POINT (-49.2671913 -25.4336631),office,government
294,,POINT (-49.2672463 -25.4336825),office,government
295,,POINT (-49.2671659 -25.4338471),office,government
296,,POINT (-49.2671337 -25.4337018),office,government
297,,POINT (-49.2671082 -25.4336993),office,government
298,,POINT (-49.2670841 -25.4337066),office,government
299,,POINT (-49.2670626 -25.4337199),office,government
300,,POINT (-49.2670425 -25.433749),office,government
301,,POINT (-49.266954 -25.4337163),office,government
302,,POINT (-49.2669285 -25.4337708),office,government
303,,POINT (-49.2671364 -25.4338556),office,government
304,,POINT (-49.2652463 -25.4349825),office,government
305,,POINT (-49.2661628 -25.4314854),office,government
306,,POINT (-49.2663411 -25.4315569),office,government
307,,POINT (-49.2662595 -25.4317227),office,government
308,,POINT (-49.266282 -25.4317317),office,government
309,,POINT (-49.2662514 -25.431794),office,government
310,,POINT (-49.2662315 -25.4319546),office,government
311,,POINT (-49.2674239 -25.4301859),office,government
312,,POINT (-49.2673593 -25.4303242),office,government
313,,POINT (-49.266579 -25.4293695),office,government
314,,POINT (-49.266944 -25.4295148),office,government
315,,POINT (-49.2669499 -25.4299979),office,government
316,,POINT (-49.2668859 -25.43014),office,government
317,,POINT (-49.2666114 -25.4293031),office,government
318,,POINT (-49.2666277 -25.4293889),office,government
319,,POINT (-49.2666844 -25.4294114),office,government
320,,POINT (-49.2669765 -25.4294484),office,government
321,,POINT (-49.266803 -25.4294587),office,government
322,,POINT (-49.2668593 -25.4294811),office,government
323,,POINT (-49.2794408 -25.4195871),office,government
324,,POINT (-49.2793491 -25.4192211),office,government
325,,POINT (-49.2794719 -25.419196),office,government
326,,POINT (-49.2795637 -25.419562),office,government
327,,POINT (-49.2727277 -25.4116174),office,government
328,,POINT (-49.2730737 -25.4116472),office,government
329,,POINT (-49.2726285 -25.4120315),office,government
330,,POINT (-49.2727755 -25.4117029),office,government
331,,POINT (-49.2727786 -25.4120061),office,government
332,,POINT (-49.2727112 -25.4117149),office,government
333,,POINT (-49.2726996 -25.4123419),office,government
334,,POINT (-49.2723921 -25.4115996),office,government
335,,POINT (-49.2731396 -25.4119351),office,government
336,,POINT (-49.2730458 -25.4116524),office,government
337,,POINT (-49.2728378 -25.4123162),office,government
338,,POINT (-49.2724912 -25.4120572),office,government
339,,POINT (-49.2726869 -25.4116087),office,government
340,,POINT (-49.2727025 -25.4116772),office,government
341,,POINT (-49.2689976 -25.4208015),office,government
342,,POINT (-49.2684808 -25.4208882),office,government
343,,POINT (-49.2690871 -25.4212368),office,government
344,,POINT (-49.2685395 -25.4211739),office,government
345,,POINT (-49.2685757 -25.4213308),office,government
346,,POINT (-49.2690409 -25.421012),office,government
347,,POINT (-49.2672773 -25.4133318),office,government
348,,POINT (-49.268299 -25.412904),office,government
349,,POINT (-49.2681132 -25.4129441),office,government
350,,POINT (-49.2684051 -25.4133495),office,government
351,,POINT (-49.2681645 -25.4131588),office,government
352,,POINT (-49.2662782 -25.4116496),office,government
353,,POINT (-49.2662601 -25.4123555),office,government
354,,POINT (-49.2664489 -25.412316),office,government
355,,POINT (-49.2660894 -25.4116891),office,government
356,,POINT (-49.2673369 -25.4135824),office,government
357,,POINT (-49.2663408 -25.4119221),office,government
358,,POINT (-49.2661689 -25.4120115),office,government
359,,POINT (-49.2683832 -25.4132609),office,government
360,,POINT (-49.2673186 -25.4135069),office,government
361,,POINT (-49.2683275 -25.4133664),office,government
362,,POINT (-49.2210287 -25.4411909),office,government
363,,POINT (-49.2208508 -25.441257),office,government
364,,POINT (-49.2210759 -25.4412941),office,government
365,,POINT (-49.2208847 -25.441357),office,government
366,,POINT (-49.2210982 -25.4414236),office,government
367,,POINT (-49.2208836 -25.4414615),office,government
368,,POINT (-49.2210916 -25.4415152),office,government
369,,POINT (-49.221078 -25.4415723),office,government
370,,POINT (-49.2208474 -25.4415607),office,government
371,,POINT (-49.2210598 -25.441622),office,government
372,,POINT (-49.2202985 -25.4416416),office,government
373,,POINT (-49.2207796 -25.4416454),office,government
374,,POINT (-49.2203339 -25.4417071),office,government
375,,POINT (-49.2204614 -25.4417437),office,government
376,,POINT (-49.2206866 -25.4417076),office,government
377,,POINT (-49.2205771 -25.4417414),office,government
378,,POINT (-49.2209816 -25.4417475),office,government
379,,POINT (-49.220009 -25.4417737),office,government
380,,POINT (-49.2208885 -25.4418338),office,government
381,,POINT (-49.2208213 -25.441876),office,government
382,,POINT (-49.2202434 -25.4418768),office,government
383,,POINT (-49.2207762 -25.4418978),office,government
384,,POINT (-49.2202813 -25.4418946),office,government
385,,POINT (-49.220729 -25.4419158),office,government
386,,POINT (-49.2203583 -25.4419229),office,government
387,,POINT (-49.2206489 -25.4419367),office,government
388,,POINT (-49.2204752 -25.4419451),office,government
389,,POINT (-49.2201534 -25.4420458),office,government
390,,POINT (-49.2203913 -25.4415993),office,government
391,,POINT (-49.215492 -25.4482304),office,government
392,,POINT (-49.2155219 -25.4481512),office,government
393,,POINT (-49.2152273 -25.4480602),office,government
394,,POINT (-49.2150119 -25.4486289),office,government
395,,POINT (-49.2151182 -25.4486618),office,government
396,,POINT (-49.2151452 -25.4485903),office,government
397,,POINT (-49.2152103 -25.4486104),office,government
398,,POINT (-49.2151611 -25.4487403),office,government
399,,POINT (-49.2153626 -25.4488025),office,government
400,,POINT (-49.2154465 -25.448581),office,government
401,,POINT (-49.2153813 -25.4485608),office,government
402,,POINT (-49.2153995 -25.4485126),office,government
403,,POINT (-49.2154648 -25.4485328),office,government
404,,POINT (-49.2154896 -25.4484674),office,government
405,,POINT (-49.2154272 -25.4484481),office,government
406,,POINT (-49.2154415 -25.4484103),office,government
407,,POINT (-49.2155039 -25.4484295),office,government
408,,POINT (-49.215531 -25.448358),office,government
409,,POINT (-49.2154567 -25.4483351),office,government
410,,POINT (-49.2154687 -25.4483033),office,government
411,,POINT (-49.215543 -25.4483263),office,government
412,,POINT (-49.2155702 -25.4482546),office,government
413,,POINT (-49.2142583 -25.4277702),office,government
414,,POINT (-49.2138962 -25.4272422),office,government
415,,POINT (-49.2132712 -25.4263919),office,government
416,,POINT (-49.2146231 -25.4268086),office,government
417,,POINT (-49.2136092 -25.4271525),office,government
418,,POINT (-49.2130137 -25.4269975),office,government
419,,POINT (-49.2135797 -25.4272083),office,government
420,,POINT (-49.213915 -25.4265978),office,government
421,,POINT (-49.213746 -25.4275861),office,government
422,,POINT (-49.272675 -25.4113909),office,government
423,,POINT (-49.2725777 -25.4114486),office,government
424,,POINT (-49.2726799 -25.4114301),office,government
425,,POINT (-49.2726767 -25.4115643),office,government
426,,POINT (-49.27302 -25.4115565),office,government
427,,POINT (-49.2727131 -25.4115547),office,government
428,,POINT (-49.2725899 -25.411563),office,government
429,,POINT (-49.2729685 -25.4113401),office,government
430,Rua da Cidadania - Regional Santa Felicidade,"POLYGON ((-49.3303115 -25.4000128, -49.330537 -25.4002613, -49.3306428 -25.4001829, -49.3308124 -25.4003698, -49.3298183 -25.4011061, -49.3295517 -25.4011025, -49.3293083 -25.4012828, -49.3292155 -25.4011806, -49.3301416 -25.4004946, -49.3299484 -25.4002818, -49.3303115 -25.4000128))",office,government
431,Palácio Iguaçu,"POLYGON ((-49.2683832 -25.4132609, -49.2684051 -25.4133495, -49.2683275 -25.4133664, -49.2673369 -25.4135824, -49.2673186 -25.4135069, -49.2672773 -25.4133318, -49.2681645 -25.4131588, -49.2681132 -25.4129441, -49.268299 -25.412904, -49.2683832 -25.4132609))",office,government
432,Ministério Público do Estado do Paraná,"POLYGON ((-49.2662782 -25.4116496, -49.2663408 -25.4119221, -49.2664489 -25.412316, -49.2662601 -25.4123555, -49.2661689 -25.4120115, -49.2660894 -25.4116891, -49.2662782 -25.4116496))",office,government
