,name,geom,key,value
0,,POINT (-49.3069037 -25.3929735),sport,american_football
1,,POINT (-49.3071456 -25.393203),sport,american_football
2,,POINT (-49.3072899 -25.3930874),sport,american_football
3,,POINT (-49.3070399 -25.3928578),sport,american_football
4,,"POLYGON ((-49.3069037 -25.3929735, -49.3071456 -25.393203, -49.3072899 -25.3930874, -49.3070399 -25.3928578, -49.3069037 -25.3929735))",sport,american_football
0,Arco e Flecha,POINT (-49.2639239 -25.442107),sport,archery
0,,POINT (-49.3147597 -25.5768862),sport,athletics
1,,POINT (-49.3155558 -25.577862),sport,athletics
2,,POINT (-49.3155132 -25.5779728),sport,athletics
3,,POINT (-49.3154341 -25.5780634),sport,athletics
4,,POINT (-49.3153265 -25.5781257),sport,athletics
5,,POINT (-49.3152023 -25.5781527),sport,athletics
6,,POINT (-49.315075 -25.5781416),sport,athletics
7,,POINT (-49.3149588 -25.5780935),sport,athletics
8,,POINT (-49.3148665 -25.5780138),sport,athletics
9,,POINT (-49.3148074 -25.57791),sport,athletics
10,,POINT (-49.3147092 -25.5768914),sport,athletics
11,,POINT (-49.3147641 -25.5769569),sport,athletics
12,,POINT (-49.3148513 -25.5768533),sport,athletics
13,,POINT (-49.3149574 -25.5767909),sport,athletics
14,,POINT (-49.3150804 -25.5767632),sport,athletics
15,,POINT (-49.3152066 -25.5767731),sport,athletics
16,,POINT (-49.3153224 -25.5768197),sport,athletics
17,,POINT (-49.3154149 -25.5768978),sport,athletics
18,,POINT (-49.315475 -25.5770003),sport,athletics
19,,POINT (-49.3154689 -25.577951),sport,athletics
20,,POINT (-49.3154002 -25.5780297),sport,athletics
21,,POINT (-49.3153067 -25.5780838),sport,athletics
22,,POINT (-49.3150882 -25.5780976),sport,athletics
23,,POINT (-49.3149872 -25.5780559),sport,athletics
24,,POINT (-49.3149069 -25.5779866),sport,athletics
25,,POINT (-49.3155053 -25.5778563),sport,athletics
26,,POINT (-49.3151987 -25.5781073),sport,athletics
27,,POINT (-49.3148562 -25.5778975),sport,athletics
28,,POINT (-49.3148179 -25.5769652),sport,athletics
29,,POINT (-49.3148855 -25.5768869),sport,athletics
30,,POINT (-49.3149776 -25.5768327),sport,athletics
31,,POINT (-49.315194 -25.5768172),sport,athletics
32,,POINT (-49.3152944 -25.5768577),sport,athletics
33,,POINT (-49.3153748 -25.5769254),sport,athletics
34,,POINT (-49.3147825 -25.5770591),sport,athletics
35,,POINT (-49.3150844 -25.5768086),sport,athletics
36,,POINT (-49.3154262 -25.5770132),sport,athletics
37,,POINT (-49.3604148 -25.4451397),sport,athletics
38,,POINT (-49.3604405 -25.4467477),sport,athletics
39,,POINT (-49.3603225 -25.4467477),sport,athletics
40,,POINT (-49.3599845 -25.4465297),sport,athletics
41,,POINT (-49.3605424 -25.4467331),sport,athletics
42,,POINT (-49.3601347 -25.4466944),sport,athletics
43,,POINT (-49.3606336 -25.4451927),sport,athletics
44,,POINT (-49.3600328 -25.4453429),sport,athletics
45,,POINT (-49.360757 -25.4452993),sport,athletics
46,,POINT (-49.3601079 -25.4452557),sport,athletics
47,,POINT (-49.3606604 -25.4466702),sport,athletics
48,,POINT (-49.3608321 -25.445246),sport,athletics
49,,POINT (-49.3599856 -25.4454207),sport,athletics
50,,POINT (-49.3603118 -25.4451637),sport,athletics
51,,POINT (-49.3607087 -25.446612),sport,athletics
52,,POINT (-49.3607516 -25.445246),sport,athletics
53,,POINT (-49.3599577 -25.4464183),sport,athletics
54,,POINT (-49.3601894 -25.4452027),sport,athletics
55,,POINT (-49.3600875 -25.4466462),sport,athletics
56,,POINT (-49.3607248 -25.4466702),sport,athletics
57,,POINT (-49.3600274 -25.4466072),sport,athletics
58,,POINT (-49.360816 -25.4466799),sport,athletics
59,,POINT (-49.3043808 -25.4458273),sport,athletics
60,,POINT (-49.3046032 -25.4457381),sport,athletics
61,,POINT (-49.3044984 -25.4457383),sport,athletics
62,,POINT (-49.3046034 -25.4458269),sport,athletics
63,,POINT (-49.3043806 -25.4457385),sport,athletics
64,,POINT (-49.291854 -25.3997325),sport,athletics
65,,POINT (-49.2909742 -25.3999554),sport,athletics
66,,POINT (-49.2917412 -25.3997486),sport,athletics
67,,POINT (-49.2917775 -25.3997514),sport,athletics
